Council area,Registration Year,Standardised birth rate,
Highland,2008,12.7,
Inverclyde,2008,11.4,
Midlothian,2008,12.5,
Moray,2008,11.7,
Na h-Eileanan Siar,2008,12.3,
North Ayrshire,2008,11.7,
North Lanarkshire,2008,12.2,
Orkney Islands,2008,12.8,
Perth and Kinross,2008,12.1,
Renfrewshire,2008,12.0,
Scotland,2008,11.5,
Scottish Borders,2008,12.6,
Shetland Islands,2008,14.0,
South Ayrshire,2008,11.4,
South Lanarkshire,2008,12.3,
Stirling,2008,10.1,
West Dunbartonshire,2008,12.1,
West Lothian,2008,13.2,
Aberdeen City,2009,9.7,
Aberdeenshire,2009,13.2,
Angus,2009,12.0,
Argyll and Bute,2009,12.4,
City of Edinburgh,2009,9.2,
Clackmannanshire,2009,12.6,
Dumfries and Galloway,2009,12.7,
Dundee City,2009,10.9,
East Ayrshire,2009,11.9,
East Dunbartonshire,2009,11.3,
East Lothian,2009,12.3,
East Renfrewshire,2009,11.7,
Falkirk,2009,12.3,
Fife,2009,12.0,
Glasgow City,2009,10.3,
Highland,2009,12.1,
Inverclyde,2009,10.9,
Midlothian,2009,12.5,
Moray,2009,11.8,
Na h-Eileanan Siar,2009,10.8,
North Ayrshire,2009,12.0,
North Lanarkshire,2009,11.8,
Orkney Islands,2009,11.6,
Perth and Kinross,2009,11.8,
Renfrewshire,2009,11.2,
Scotland,2009,11.3,
Scottish Borders,2009,13.0,
Shetland Islands,2009,13.7,
South Ayrshire,2009,11.3,
South Lanarkshire,2009,11.6,
Stirling,2009,10.2,
West Dunbartonshire,2009,12.0,
West Lothian,2009,12.7,
Aberdeen City,2010,9.6,
Aberdeenshire,2010,12.2,
Angus,2010,11.2,
Argyll and Bute,2010,11.7,
City of Edinburgh,2010,9.1,
Clackmannanshire,2010,13.0,
Dumfries and Galloway,2010,12.2,
Dundee City,2010,10.6,
East Ayrshire,2010,11.7,
East Dunbartonshire,2010,11.4,
East Lothian,2010,13.0,
East Renfrewshire,2010,12.1,
Falkirk,2010,12.3,
Fife,2010,12.1,
Glasgow City,2010,10.2,
Highland,2010,12.4,
Inverclyde,2010,10.7,
Midlothian,2010,13.2,
Moray,2010,11.3,
Na h-Eileanan Siar,2010,11.2,
North Ayrshire,2010,11.7,
North Lanarkshire,2010,11.4,
Orkney Islands,2010,11.3,
Perth and Kinross,2010,12.1,
Renfrewshire,2010,12.0,
Scotland,2010,11.2,
Scottish Borders,2010,13.1,
Shetland Islands,2010,13.0,
South Ayrshire,2010,11.1,
South Lanarkshire,2010,11.5,
Stirling,2010,9.7,
West Dunbartonshire,2010,11.7,
West Lothian,2010,12.4,
Aberdeen City,2011,9.3,
Aberdeenshire,2011,12.0,
Angus,2011,11.8,
Argyll and Bute,2011,11.5,
City of Edinburgh,2011,8.9,
Clackmannanshire,2011,11.9,
Dumfries and Galloway,2011,11.8,
Dundee City,2011,10.5,
East Ayrshire,2011,12.0,
East Dunbartonshire,2011,11.5,
East Lothian,2011,13.0,
East Renfrewshire,2011,11.3,
Falkirk,2011,11.5,
Fife,2011,12.4,
Glasgow City,2011,10.1,
Highland,2011,11.7,
Inverclyde,2011,11.1,
Midlothian,2011,12.9,
Moray,2011,12.1,
Na h-Eileanan Siar,2011,11.2,
North Ayrshire,2011,11.9,
North Lanarkshire,2011,11.7,
Orkney Islands,2011,11.7,
Perth and Kinross,2011,11.9,
Renfrewshire,2011,11.0,
Scotland,2011,11.1,
Scottish Borders,2011,12.7,
Shetland Islands,2011,11.7,
South Ayrshire,2011,11.5,
South Lanarkshire,2011,11.9,
Stirling,2011,9.5,
West Dunbartonshire,2011,12.0,
West Lothian,2011,12.2,
Aberdeen City,2012,9.4,
Aberdeenshire,2012,12.7,
Angus,2012,12.0,
Argyll and Bute,2012,12.1,
City of Edinburgh,2012,8.7,
Clackmannanshire,2012,13.6,
Dumfries and Galloway,2012,11.8,
Dundee City,2012,10.0,
East Ayrshire,2012,12.1,
East Dunbartonshire,2012,11.2,
East Lothian,2012,12.3,
East Renfrewshire,2012,12.4,
Falkirk,2012,12.0,
Fife,2012,11.7,
Glasgow City,2012,9.8,
Highland,2012,12.0,
Inverclyde,2012,10.5,
Midlothian,2012,13.8,
Moray,2012,11.5,
Na h-Eileanan Siar,2012,11.4,
North Ayrshire,2012,11.2,
