Council area,Year,Sex,Age group,Type,Life expectancy
Angus,2001-03,Female,85 to 89,Estimate,5.739086447
Angus,2001-03,Female,85 to 89,Lower_CI,5.465814244
Angus,2001-03,Female,85 to 89,Upper_CI,6.012358651
Angus,2001-03,Female,90 and over,Estimate,3.863461538
Angus,2001-03,Female,90 and over,Lower_CI,3.531390506
Angus,2001-03,Female,90 and over,Upper_CI,4.195532571
Argyll and Bute,2001-03,Male,0,Estimate,74.77839214
Argyll and Bute,2001-03,Male,0,Lower_CI,74.05493048
Argyll and Bute,2001-03,Male,0,Upper_CI,75.5018538
Argyll and Bute,2001-03,Male,1 to 4,Estimate,74.03357202
Argyll and Bute,2001-03,Male,1 to 4,Lower_CI,73.35222924
Argyll and Bute,2001-03,Male,1 to 4,Upper_CI,74.7149148
Argyll and Bute,2001-03,Male,5 to 9,Estimate,70.1377044
Argyll and Bute,2001-03,Male,5 to 9,Lower_CI,69.47083655
Argyll and Bute,2001-03,Male,5 to 9,Upper_CI,70.80457225
Argyll and Bute,2001-03,Male,10 to 14,Estimate,65.1377044
Argyll and Bute,2001-03,Male,10 to 14,Lower_CI,64.47083655
Argyll and Bute,2001-03,Male,10 to 14,Upper_CI,65.80457225
Argyll and Bute,2001-03,Male,15 to 19,Estimate,60.20947901
Argyll and Bute,2001-03,Male,15 to 19,Lower_CI,59.54930785
Argyll and Bute,2001-03,Male,15 to 19,Upper_CI,60.86965017
Argyll and Bute,2001-03,Male,20 to 24,Estimate,55.34852125
Argyll and Bute,2001-03,Male,20 to 24,Lower_CI,54.70097457
Argyll and Bute,2001-03,Male,20 to 24,Upper_CI,55.99606793
Argyll and Bute,2001-03,Male,25 to 29,Estimate,50.72389009
Argyll and Bute,2001-03,Male,25 to 29,Lower_CI,50.11091627
Argyll and Bute,2001-03,Male,25 to 29,Upper_CI,51.33686392
Argyll and Bute,2001-03,Male,30 to 34,Estimate,45.88114533
Argyll and Bute,2001-03,Male,30 to 34,Lower_CI,45.28187117
Argyll and Bute,2001-03,Male,30 to 34,Upper_CI,46.48041948
Argyll and Bute,2001-03,Male,35 to 39,Estimate,41.29390599
Argyll and Bute,2001-03,Male,35 to 39,Lower_CI,40.72408083
Argyll and Bute,2001-03,Male,35 to 39,Upper_CI,41.86373114
Argyll and Bute,2001-03,Male,40 to 44,Estimate,36.56976676
Argyll and Bute,2001-03,Male,40 to 44,Lower_CI,36.01451468
Argyll and Bute,2001-03,Male,40 to 44,Upper_CI,37.12501884
Argyll and Bute,2001-03,Male,45 to 49,Estimate,31.9703519
Argyll and Bute,2001-03,Male,45 to 49,Lower_CI,31.43219783
Argyll and Bute,2001-03,Male,45 to 49,Upper_CI,32.50850597
Argyll and Bute,2001-03,Male,50 to 54,Estimate,27.58986739
Argyll and Bute,2001-03,Male,50 to 54,Lower_CI,27.07578668
Argyll and Bute,2001-03,Male,50 to 54,Upper_CI,28.10394811
Argyll and Bute,2001-03,Male,55 to 59,Estimate,23.50280356
Argyll and Bute,2001-03,Male,55 to 59,Lower_CI,23.0172419
Argyll and Bute,2001-03,Male,55 to 59,Upper_CI,23.98836522
Argyll and Bute,2001-03,Male,60 to 64,Estimate,19.54167092
Argyll and Bute,2001-03,Male,60 to 64,Lower_CI,19.07973745
Argyll and Bute,2001-03,Male,60 to 64,Upper_CI,20.0036044
Argyll and Bute,2001-03,Male,65 to 69,Estimate,15.85426496
Argyll and Bute,2001-03,Male,65 to 69,Lower_CI,15.41781218
Argyll and Bute,2001-03,Male,65 to 69,Upper_CI,16.29071774
Argyll and Bute,2001-03,Male,70 to 74,Estimate,12.50244933
Argyll and Bute,2001-03,Male,70 to 74,Lower_CI,12.09039518
Argyll and Bute,2001-03,Male,70 to 74,Upper_CI,12.91450349
Argyll and Bute,2001-03,Male,75 to 79,Estimate,9.603094985
Argyll and Bute,2001-03,Male,75 to 79,Lower_CI,9.206835564
Argyll and Bute,2001-03,Male,75 to 79,Upper_CI,9.999354406
Argyll and Bute,2001-03,Male,80 to 84,Estimate,7.182040251
Argyll and Bute,2001-03,Male,80 to 84,Lower_CI,6.786119895
Argyll and Bute,2001-03,Male,80 to 84,Upper_CI,7.577960607
Argyll and Bute,2001-03,Male,85 to 89,Estimate,5.188402938
