Council area,Registration Year,Sex,Number of civil partnerships
Aberdeenshire,2012,Female,5
Angus,2012,Female,1
Argyll and Bute,2012,Female,7
City of Edinburgh,2012,Female,68
Clackmannanshire,2012,Female,0
Dumfries and Galloway,2012,Female,51
Dundee City,2012,Female,9
East Ayrshire,2012,Female,2
East Dunbartonshire,2012,Female,2
East Lothian,2012,Female,5
East Renfrewshire,2012,Female,2
Falkirk,2012,Female,3
Fife,2012,Female,17
Glasgow City,2012,Female,51
Highland,2012,Female,14
Inverclyde,2012,Female,0
Midlothian,2012,Female,3
Moray,2012,Female,1
Na h-Eileanan Siar,2012,Female,0
North Ayrshire,2012,Female,7
North Lanarkshire,2012,Female,8
Orkney Islands,2012,Female,1
Perth and Kinross,2012,Female,7
Renfrewshire,2012,Female,6
Scotland,2012,Female,317
Scottish Borders,2012,Female,7
Shetland Islands,2012,Female,1
South Ayrshire,2012,Female,11
South Lanarkshire,2012,Female,9
Stirling,2012,Female,6
West Dunbartonshire,2012,Female,0
West Lothian,2012,Female,6
Aberdeen City,2012,Male,12
Aberdeenshire,2012,Male,4
Angus,2012,Male,4
Argyll and Bute,2012,Male,4
City of Edinburgh,2012,Male,71
Clackmannanshire,2012,Male,3
Dumfries and Galloway,2012,Male,22
Dundee City,2012,Male,9
East Ayrshire,2012,Male,3
East Dunbartonshire,2012,Male,1
East Lothian,2012,Male,2
East Renfrewshire,2012,Male,2
Falkirk,2012,Male,4
Fife,2012,Male,12
Glasgow City,2012,Male,51
Highland,2012,Male,5
Inverclyde,2012,Male,2
Midlothian,2012,Male,1
Moray,2012,Male,1
Na h-Eileanan Siar,2012,Male,0
North Ayrshire,2012,Male,2
North Lanarkshire,2012,Male,3
Orkney Islands,2012,Male,0
Perth and Kinross,2012,Male,6
Renfrewshire,2012,Male,1
Scotland,2012,Male,257
Scottish Borders,2012,Male,6
Shetland Islands,2012,Male,0
South Ayrshire,2012,Male,3
South Lanarkshire,2012,Male,7
Stirling,2012,Male,6
West Dunbartonshire,2012,Male,4
West Lothian,2012,Male,6
Aberdeen City,2013,All,20
Aberdeenshire,2013,All,14
Angus,2013,All,6
Argyll and Bute,2013,All,11
City of Edinburgh,2013,All,104
Clackmannanshire,2013,All,3
Dumfries and Galloway,2013,All,69
Dundee City,2013,All,13
East Ayrshire,2013,All,6
East Dunbartonshire,2013,All,5
East Lothian,2013,All,8
East Renfrewshire,2013,All,3
Falkirk,2013,All,10
Fife,2013,All,22
Glasgow City,2013,All,98
Highland,2013,All,17
Inverclyde,2013,All,1
Midlothian,2013,All,10
Moray,2013,All,7
Na h-Eileanan Siar,2013,All,1
North Ayrshire,2013,All,12
North Lanarkshire,2013,All,8
Orkney Islands,2013,All,1
Perth and Kinross,2013,All,11
Renfrewshire,2013,All,10
Scotland,2013,All,530
Scottish Borders,2013,All,11
Shetland Islands,2013,All,0
South Ayrshire,2013,All,5
South Lanarkshire,2013,All,13
Stirling,2013,All,15
West Dunbartonshire,2013,All,3
West Lothian,2013,All,13
Aberdeen City,2013,Female,11
Aberdeenshire,2013,Female,11
Angus,2013,Female,2
Argyll and Bute,2013,Female,10
City of Edinburgh,2013,Female,49
Clackmannanshire,2013,Female,3
Dumfries and Galloway,2013,Female,55
Dundee City,2013,Female,9
East Ayrshire,2013,Female,3
East Dunbartonshire,2013,Female,2
East Lothian,2013,Female,5
East Renfrewshire,2013,Female,3
Falkirk,2013,Female,8
Fife,2013,Female,13
Glasgow City,2013,Female,43
Highland,2013,Female,10
Inverclyde,2013,Female,0
Midlothian,2013,Female,6
Moray,2013,Female,3
Na h-Eileanan Siar,2013,Female,1
North Ayrshire,2013,Female,9
North Lanarkshire,2013,Female,6
Orkney Islands,2013,Female,1
Perth and Kinross,2013,Female,8
Renfrewshire,2013,Female,8
Scotland,2013,Female,313
Scottish Borders,2013,Female,6
Shetland Islands,2013,Female,0
South Ayrshire,2013,Female,1
South Lanarkshire,2013,Female,8
Stirling,2013,Female,6
West Dunbartonshire,2013,Female,3
West Lothian,2013,Female,10
Aberdeen City,2013,Male,9
Aberdeenshire,2013,Male,3
Angus,2013,Male,4
Argyll and Bute,2013,Male,1
City of Edinburgh,2013,Male,55
Clackmannanshire,2013,Male,0
Dumfries and Galloway,2013,Male,14
Dundee City,2013,Male,4
East Ayrshire,2013,Male,3
East Dunbartonshire,2013,Male,3
East Lothian,2013,Male,3
East Renfrewshire,2013,Male,0
Falkirk,2013,Male,2
Fife,2013,Male,9
Glasgow City,2013,Male,55
Highland,2013,Male,7
Inverclyde,2013,Male,1
Midlothian,2013,Male,4
Moray,2013,Male,4
Na h-Eileanan Siar,2013,Male,0
North Ayrshire,2013,Male,3
North Lanarkshire,2013,Male,2
Orkney Islands,2013,Male,0
Perth and Kinross,2013,Male,3
Renfrewshire,2013,Male,2
Scotland,2013,Male,217
Scottish Borders,2013,Male,5
Shetland Islands,2013,Male,0
South Ayrshire,2013,Male,4
South Lanarkshire,2013,Male,5
Stirling,2013,Male,9
West Dunbartonshire,2013,Male,0
West Lothian,2013,Male,3
Aberdeen City,2014,All,15
Aberdeenshire,2014,All,4
Angus,2014,All,3
Argyll and Bute,2014,All,11
City of Edinburgh,2014,All,103
Clackmannanshire,2014,All,6
Dumfries and Galloway,2014,All,53
Dundee City,2014,All,8
East Ayrshire,2014,All,8
East Dunbartonshire,2014,All,3
East Lothian,2014,All,8
East Renfrewshire,2014,All,1
Falkirk,2014,All,8
Fife,2014,All,23
