Council area,Year,Sex,Type,Number
Argyll and Bute,2016-17,Persons,Out,4040
Argyll and Bute,2017-18,Female,In,2130
Argyll and Bute,2017-18,Female,Net,-50
Argyll and Bute,2017-18,Female,Out,2190
Argyll and Bute,2017-18,Male,In,2000
Argyll and Bute,2017-18,Male,Net,-30
Argyll and Bute,2017-18,Male,Out,2030
Argyll and Bute,2017-18,Persons,In,4130
Argyll and Bute,2017-18,Persons,Net,-80
Argyll and Bute,2017-18,Persons,Out,4210
Argyll and Bute,2018-19,Female,In,2020
Argyll and Bute,2018-19,Female,Net,-10
Argyll and Bute,2018-19,Female,Out,2030
Argyll and Bute,2018-19,Male,In,1910
Argyll and Bute,2018-19,Male,Net,-60
Argyll and Bute,2018-19,Male,Out,1970
Argyll and Bute,2018-19,Persons,In,3940
Argyll and Bute,2018-19,Persons,Net,-70
Argyll and Bute,2018-19,Persons,Out,4000
City of Edinburgh,2001-02,Female,In,14450
City of Edinburgh,2001-02,Female,Net,460
City of Edinburgh,2001-02,Female,Out,13990
