Council area,Registration Year,Sex,Number,,,,
East Ayrshire,2019,All people,1499,,,,
East Dunbartonshire,2019,All people,1137,,,,
East Lothian,2019,All people,1024,,,,
East Renfrewshire,2019,All people,923,,,,
Falkirk,2019,All people,1786,,,,
Fife,2019,All people,4155,,,,
Glasgow City,2019,All people,6314,,,,
Highland,2019,All people,2635,,,,
Inverclyde,2019,All people,1079,,,,
Midlothian,2019,All people,929,,,,
Moray,2019,All people,1044,,,,
Na h-Eileanan Siar,2019,All people,358,,,,
North Ayrshire,2019,All people,1740,,,,
North Lanarkshire,2019,All people,3689,,,,
Orkney Islands,2019,All people,232,,,,
Perth and Kinross,2019,All people,1694,,,,
Renfrewshire,2019,All people,2039,,,,
Scotland,2019,All people,58108,,,,
Scottish Borders,2019,All people,1299,,,,
Shetland Islands,2019,All people,199,,,,
South Ayrshire,2019,All people,1513,,,,
South Lanarkshire,2019,All people,3522,,,,
Stirling,2019,All people,968,,,,
West Dunbartonshire,2019,All people,1046,,,,
West Lothian,2019,All people,1592,,,,
Aberdeen City,2019,Female,1067,,,,
Aberdeenshire,2019,Female,1313,,,,
Angus,2019,Female,697,,,,
Argyll and Bute,2019,Female,555,,,,
City of Edinburgh,2019,Female,2188,,,,
Clackmannanshire,2019,Female,282,,,,
Dumfries and Galloway,2019,Female,1004,,,,
Dundee City,2019,Female,843,,,,
East Ayrshire,2019,Female,752,,,,
East Dunbartonshire,2019,Female,612,,,,
East Lothian,2019,Female,522,,,,
East Renfrewshire,2019,Female,474,,,,
Falkirk,2019,Female,895,,,,
Fife,2019,Female,2103,,,,
Glasgow City,2019,Female,3245,,,,
Highland,2019,Female,1345,,,,
Inverclyde,2019,Female,568,,,,
Midlothian,2019,Female,474,,,,
Moray,2019,Female,536,,,,
Na h-Eileanan Siar,2019,Female,180,,,,
North Ayrshire,2019,Female,856,,,,
North Lanarkshire,2019,Female,1845,,,,
Orkney Islands,2019,Female,116,,,,
Perth and Kinross,2019,Female,874,,,,
Renfrewshire,2019,Female,1059,,,,
Scotland,2019,Female,29619,,,,
Scottish Borders,2019,Female,678,,,,
Shetland Islands,2019,Female,94,,,,
South Ayrshire,2019,Female,784,,,,
South Lanarkshire,2019,Female,1781,,,,
Stirling,2019,Female,489,,,,
West Dunbartonshire,2019,Female,552,,,,
West Lothian,2019,Female,836,,,,
Aberdeen City,2019,Male,1094,,,,
Aberdeenshire,2019,Male,1221,,,,
Angus,2019,Male,713,,,,
Argyll and Bute,2019,Male,539,,,,
City of Edinburgh,2019,Male,2078,,,,
Clackmannanshire,2019,Male,325,,,,
Dumfries and Galloway,2019,Male,928,,,,
Dundee City,2019,Male,845,,,,
East Ayrshire,2019,Male,747,,,,
East Dunbartonshire,2019,Male,525,,,,
East Lothian,2019,Male,502,,,,
East Renfrewshire,2019,Male,449,,,,
Falkirk,2019,Male,891,,,,
Fife,2019,Male,2052,,,,
Glasgow City,2019,Male,3069,,,,
Highland,2019,Male,1290,,,,
Inverclyde,2019,Male,511,,,,
Midlothian,2019,Male,455,,,,
Moray,2019,Male,508,,,,
Na h-Eileanan Siar,2019,Male,178,,,,
North Ayrshire,2019,Male,884,,,,
North Lanarkshire,2019,Male,1844,,,,
Orkney Islands,2019,Male,116,,,,
Perth and Kinross,2019,Male,820,,,,
Renfrewshire,2019,Male,980,,,,
Scotland,2019,Male,28489,,,,
Scottish Borders,2019,Male,621,,,,
Shetland Islands,2019,Male,105,,,,
South Ayrshire,2019,Male,729,,,,
South Lanarkshire,2019,Male,1741,,,,
Stirling,2019,Male,479,,,,
West Dunbartonshire,2019,Male,494,,,,
West Lothian,2019,Male,756,,,,
,,,,,,,
© Crown Copyright 2020,,,,,,,
