Council area,Year,Sex,Age group,Number
Aberdeen City,2010-11,Male,0 to 4,44
Aberdeen City,2010-11,Male,10 to 14,63
Aberdeen City,2010-11,Male,15 to 19,443
Aberdeen City,2010-11,Male,20 to 24,763
Aberdeen City,2010-11,Male,25 to 29,357
Aberdeen City,2010-11,Male,30 to 34,-45
Aberdeen City,2010-11,Male,35 to 39,-66
Aberdeen City,2010-11,Male,40 to 44,31
Aberdeen City,2010-11,Male,45 to 49,-3
Aberdeen City,2010-11,Male,5 to 9,60
Aberdeen City,2010-11,Male,50 to 54,-33
Aberdeen City,2010-11,Male,55 to 59,-22
Aberdeen City,2010-11,Male,60 to 64,-27
Aberdeen City,2010-11,Male,65 to 69,-43
Aberdeen City,2010-11,Male,70 to 74,-7
Aberdeen City,2010-11,Male,75 to 79,3
Aberdeen City,2010-11,Male,80 to 84,-3
Aberdeen City,2010-11,Male,85 to 89,-1
Aberdeen City,2010-11,Male,90 and over,-3
Aberdeen City,2010-11,Male,All ages,1511
Aberdeen City,2011-12,Female,0 to 4,-25
Aberdeen City,2011-12,Female,10 to 14,9
Aberdeen City,2011-12,Female,15 to 19,867
Aberdeen City,2011-12,Female,20 to 24,412
Aberdeen City,2011-12,Female,25 to 29,5
Aberdeen City,2011-12,Female,30 to 34,-59
Aberdeen City,2011-12,Female,35 to 39,-47
Aberdeen City,2011-12,Female,40 to 44,4
Aberdeen City,2011-12,Female,45 to 49,-33
Aberdeen City,2011-12,Female,5 to 9,-16
Aberdeen City,2011-12,Female,50 to 54,10
Aberdeen City,2011-12,Female,55 to 59,-12
Aberdeen City,2011-12,Female,60 to 64,-50
Aberdeen City,2011-12,Female,65 to 69,-12
Aberdeen City,2011-12,Female,70 to 74,-14
Aberdeen City,2011-12,Female,75 to 79,-17
Aberdeen City,2011-12,Female,80 to 84,-15
Aberdeen City,2011-12,Female,85 to 89,-17
Aberdeen City,2011-12,Female,90 and over,-8
Aberdeen City,2011-12,Female,All ages,982
Aberdeen City,2011-12,Male,0 to 4,8
Aberdeen City,2011-12,Male,10 to 14,17
Aberdeen City,2011-12,Male,15 to 19,447
Aberdeen City,2011-12,Male,20 to 24,583
Aberdeen City,2011-12,Male,25 to 29,132
Aberdeen City,2011-12,Male,30 to 34,-47
Aberdeen City,2011-12,Male,35 to 39,-91
Aberdeen City,2011-12,Male,40 to 44,-7
Aberdeen City,2011-12,Male,45 to 49,-47
Aberdeen City,2011-12,Male,5 to 9,25
Aberdeen City,2011-12,Male,50 to 54,14
Aberdeen City,2011-12,Male,55 to 59,-34
Aberdeen City,2011-12,Male,60 to 64,-38
Aberdeen City,2011-12,Male,65 to 69,-44
Aberdeen City,2011-12,Male,70 to 74,-19
Aberdeen City,2011-12,Male,75 to 79,-10
Aberdeen City,2011-12,Male,80 to 84,-6
Aberdeen City,2011-12,Male,85 to 89,-12
Aberdeen City,2011-12,Male,90 and over,-6
Aberdeen City,2011-12,Male,All ages,865
Aberdeen City,2012-13,Female,0 to 4,-57
Aberdeen City,2012-13,Female,10 to 14,-25
Aberdeen City,2012-13,Female,15 to 19,974
Aberdeen City,2012-13,Female,20 to 24,262
Aberdeen City,2012-13,Female,25 to 29,33
Aberdeen City,2012-13,Female,30 to 34,-119
Aberdeen City,2012-13,Female,35 to 39,-75
Aberdeen City,2012-13,Female,40 to 44,-28
Aberdeen City,2012-13,Female,45 to 49,-2
Aberdeen City,2012-13,Female,5 to 9,-22
Aberdeen City,2012-13,Female,50 to 54,11
Aberdeen City,2012-13,Female,55 to 59,-58
Aberdeen City,2012-13,Female,60 to 64,-42
Aberdeen City,2012-13,Female,65 to 69,-41
Aberdeen City,2012-13,Female,70 to 74,-7
Aberdeen City,2012-13,Female,75 to 79,-1
Aberdeen City,2012-13,Female,80 to 84,-9
Aberdeen City,2012-13,Female,85 to 89,-4
Aberdeen City,2012-13,Female,90 and over,1
Aberdeen City,2012-13,Female,All ages,791
Aberdeen City,2012-13,Male,0 to 4,-106
